Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Country	Source file	Title	Type of text	Source URL	Word count	URL	Matchbegin corpus position	Matchend corpus position
11	3321532	was also given an opportunity to make further submissions on whether it would pursue those claims . &lt;p&gt;  The matter	<<< was stood >>>	over with a damages award of $174,416 as &lt;h&gt;   Crown  vicariously liable for tortious conduct of state MP	was_vbdz also_rr given_vvn an_at1 opportunity_nn1 to_to make_vvi further_jjr@_rrr submissions_nn2 on_ii whether_csw it_pph1 would_vm pursue_vvi those_dd2 claims_nn2 ._. &lt;p&gt; _null The_at matter_nn1	<<< was_vbdz stood_vvn@ >>>	over_rp with_iw a_at1 damages_nn2 award_nn1 of_io $174,416_nnu as_ii31 &lt;h&gt; _null  Crown_nn1  vicariously_rr liable_jj for_if tortious_jj conduct_nn1 of_io state_nn1 MP_nn1	Australia	wlp_au_b01.txt	$174,416 damages for inducing disclosure of commissions | CCH	Blog	http://www.lawchat.com.au/index.php/174416-damages-for-inducing-disclosure-of-commissions/	1140	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=10	15154638	15154639
12	3323102	you continue to try we will smash you to pieces  mentality ? ? Vote Labor if you want to	<<< be stood >>>	over and milked by the Australian Mafia folks because that is precisely what a vote for Labor is ... &lt;p&gt;	you_ppy continue_vv0 to_to try_vvi we_ppis2 will_vm smash_vvi you_ppy to_ii pieces_nn2  mentality_nn1 ?_? ?_? Vote_vv0_nn1 Labor_nn1 if_cs you_ppy want_vv0 to_to	<<< be_vbi stood_vvn@ >>>	over_rp and_cc milked_vvn by_ii the_at Australian_jj Mafia_nn1 folks_nn2 because_cs that_dd1 is_vbz precisely_rr what_ddq a_at1 vote_nn1 for_if Labor_nn1 is_vbz ..._... &lt;p&gt; _null	Australia	wlp_au_b01.txt	Victoria Police FOI Explanatory Letter - Michael Smith News	Blog	http://www.michaelsmithnews.com/2012/10/the-awu-scandal-victoria-police-foi-explanatory-letter.html	4485	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=11	15997550	15997551
13	3325205	former employee of RTRFM and currently volunteers as a &lt;h&gt;  How To Do Drag Well &lt;p&gt;  You know when you	<<< 're stood >>>	in the bar , drink in hand , thinking ' I wonder how long it takes them to get ready	former_da employee_nn1 of_io RTRFM_np1 and_cc currently_rr volunteers_nn2 as_ii_csa a_at1 &lt;h&gt; _null How_rrq To_to Do_vdi Drag_nn1 Well_nn1@_rr &lt;p&gt; _null You_ppy know_vv0 when_rrq you_ppy	<<< 're_vbr stood_vvn@ >>>	in_ii the_at bar_nn1 ,_, drink_vv0_nn1 in_ii hand_nn1 ,_, thinking_nn1 '_ge I_ppis1 wonder_vv0 how_rgq@_rrq long_rr it_pph1 takes_vvz them_ppho2 to_to get_vvi ready_jj_rr@	Australia	wlp_au_b01.txt	How To Do Drag Well | OutInPerth	Blog	http://www.outinperth.com/how-to-do-drag-well/	1342	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=12	16650289	16650290
14	3332836	on it . Who 's idea was The Shire -- that person if not already should resign in humiliation and	<<< be stood >>>	out the front and apologies to all of Australia . &lt;p&gt;  Next channel 10 has cut all the good stuff	on_ii it_pph1 ._. Who_np1%_pnqs 's_vbz idea_nn1 was_vbdz The_at Shire_nn1 --_zz that_cst_dd1 person_nn1 if_cs not_xx already_rr should_vm resign_vvi in_ii humiliation_nn1 and_cc	<<< be_vbi stood_vvn@ >>>	out_rp the_at front_nn1_jj and_cc apologies_nn2 to_ii all_db of_io Australia_np1 ._. &lt;p&gt; _null Next_md channel_nn1 10_mc has_vhz cut_vvn all_db the_at good_jj stuff_nn1	Australia	wlp_au_b01.txt	ABC beat TEN every night last week ....seriously. | TV Tonight	Blog	http://www.tvtonight.com.au/2012/09/abc-beat-ten-every-night-last-week-seriously.html	2504	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=13	19930058	19930059
15	3334625	and that they will just bend the 12mm or so until the cabin roof stops any more bending as they	<<< are stood >>>	on . But these panels will get super hot , so much so that perhaps standing on them would not	and_cc that_cst they_pphs2 will_vm just_rr bend_vvi the_at 12mm_nnu or_cc so_rr until_cs_ii@ the_at cabin_nn1 roof_nn1 stops_vvz any_dd more_dar bending_nn1@_jj% as_csa they_pphs2	<<< are_vbr stood_vvn@ >>>	on_rp@_ii ._. But_ccb these_dd2 panels_nn2 will_vm get_vvi super_jj hot_jj ,_, so_rg_rr much_da1_rr so_cs21 that_cs22 perhaps_rr standing_vvg on_ii them_ppho2 would_vm not_xx	Australia	wlp_au_b01.txt	Cabin extensions | Building and Sailing our Schionning Catamaran	Blog	http://yikes.com.au/2012/10/19/cabin-extensions/	3367	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=14	20564850	20564851
16	3731134	members have asked me to comment on the Damien Oliver inquiry which was completed today . &lt;p&gt;  Damien Oliver has	<<< been stood >>>	down for 10 months , he will not be able to ride in races or trackwork for the first 8	members_nn2 have_vh0 asked_vvn me_ppio1 to_to comment_vvi on_ii the_at Damien_np1 Oliver_np1 inquiry_nn1 which_ddq was_vbdz completed_vvn today_rt ._. &lt;p&gt; _null Damien_np1 Oliver_np1 has_vhz	<<< been_vbn stood_vvn@ >>>	down_rp for_if 10_mc months_nnt2 ,_, he_pphs1 will_vm not_xx be_vbi able_jk to_to ride_vvi in_ii_rp@ races_nn2 or_cc trackwork_nn1 for_if the_at first_md 8_mc	Australia	wlp_au_b01.txt	Bryan Martin Racing Club | BMRC Comment - Damien Oliver	Blog	http://bryanmartinracingclub.com.au/wordpress/bmrc-comment-damien-oliver/	497	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=15	21270891	21270892
17	3732542	so-called experts . &lt;p&gt;  O'Sullivan continues :  You may readily discern the difference between these phenomena yourself if you	<<< were stood >>>	on a cold , clear winter 's day on a snow capped mountain . On the one hand you may	so-called_jj experts_nn2 ._. &lt;p&gt; _null O'Sullivan_np1 continues_vvz :_:  You_ppy may_vm readily_rr discern_vvi the_at difference_nn1 between_ii these_dd2 phenomena_nn2 yourself_ppx1 if_cs you_ppy	<<< were_vbdr stood_vvn@ >>>	on_ii a_at1 cold_jj_nn1 ,_, clear_jj winter_nnt1 's_ge day_nnt1 on_ii a_at1 snow_nn1 capped_jj_vvn mountain_nn1 ._. On_ii the_at one_mc1 hand_nn1 you_ppy may_vm	Australia	wlp_au_b01.txt	A discussion of the Slaying the Sky Dragon science: Is the	Blog	http://joannenova.com.au/2012/10/a-discussion-of-the-slaying-the-sky-dragon-science-is-the-greenhouse-effect-a-sky-dragon-myth/	102127	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=16	21995861	21995862
18	3738714	the committee . &lt;p&gt;  November 13 : RV stewards charge Oliver with breaches of the Rules of Racing . Oliver	<<< is stood >>>	down from rising pending a hearing . &lt;p&gt;  November 20 : Oliver is banned from riding for 10 months .	the_at committee_nn1 ._. &lt;p&gt; _null November_npm1 13_mc :_: RV_np1 stewards_nn2_vvz@ charge_vv0@_nn1 Oliver_np1 with_iw breaches_nn2 of_io the_at Rules_nn2 of_io Racing_vvg_nn1@ ._. Oliver_np1	<<< is_vbz stood_vvn@ >>>	down_rp from_ii rising_vvg pending_ii a_at1 hearing_nn1 ._. &lt;p&gt; _null November_npm1 20_mc :_: Oliver_np1 is_vbz banned_vvn from_ii riding_vvg for_if 10_mc months_nnt2 ._.	Australia	wlp_au_b01.txt	Damien Oliver disqualified after pleading guilty to $10k bet	Blog	http://www.northernstar.com.au/news/damien-oliver-breaks-down-hearing-he-pleads-gulity/1628766/	1235	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=17	24468156	24468157
19	3287682	&lt;p&gt;  While Germany 's petrol tax doubled since 1990 , indexing of Australia 's was removed in 2001 . It	<<< 's stood >>>	at $0.38 per litre ever since -- had indexation been maintained the excise would now be around $0.50 per litre	&lt;p&gt; _null While_cs Germany_np1 's_ge petrol_nn1 tax_nn1 doubled_vvn_vvd since_ii 1990_mc ,_, indexing_nn1_vvg of_io Australia_np1 's_ge was_vbdz removed_vvn in_ii 2001_mc ._. It_pph1	<<< 's_vbz stood_vvn@ >>>	at_ii $0.38_nnu per_ii litre_nnu1 ever_rr since_cs_ii@ --_zz had_vhd indexation_nn1 been_vbn maintained_vvn the_at excise_nn1 would_vm now_rt be_vbi around_rg $0.50_nnu per_ii litre_nnu1	Australia	wlp_au_b02.txt	What drives higher public transport use? | The Urbanist	Blog	http://blogs.crikey.com.au/theurbanist/2012/10/08/what-drives-higher-public-transport-use/	2254	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=18	26896523	26896524
20	3287986	desert . It put my whole life into @ @ @ @ @ @ @ @ @ @ traffic ,	<<< being stood >>>	up by friends , having a bad day at work- none of it compares to what those Aboriginal kids went	desert_nn1 ._. It_pph1 put_vvd my_appge whole_jj life_nn1 into_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii traffic_nn1 ,_,	<<< being_vbg stood_vvn@ >>>	up_rp by_ii friends_nn2 ,_, having_vhg a_at1 bad_jj day_nnt1 at_ii work-_nn1_jj none_pn of_io it_pph1 compares_vvz to_ii what_ddq those_dd2 Aboriginal_jj kids_nn2 went_vvd	Australia	wlp_au_b02.txt	Why do we go to loser countries? - Blogs - Sydney Morning Herald	Blog	http://blogs.smh.com.au/travel/archives/2009/08/why_do_we_go_to_loser_countrie.html	27394	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=19	27400834	27400835
21	3287989	2007 12:40 PM &lt;p&gt;   What 's the best / worst way you 've been picked up ?  &lt;p&gt;	<<< Was stood >>>	up last Summer and sitting outside Long Room on bench eating hotdog still looking very decent , make-up not smudged	2007_mc 12:40_mc PM_np1_ra% &lt;p&gt; _null  What_ddq 's_vbz the_at best_jjt_rrt /_fo worst_jjt way_nn1 you_ppy 've_vh0 been_vbn picked_vvn up_rp ?_?  &lt;p&gt; _null	<<< Was_vbdz stood_vvn@ >>>	up_rp last_md Summer_nnt1 and_cc sitting_vvg outside_ii_jj_rl Long_jj Room_nn1 on_ii bench_nn1 eating_nn1_vvg hotdog_nn1_vv0 still_rr looking_vvg very_rg decent_jj ,_, make-up_nn1 not_xx smudged_vvn	Australia	wlp_au_b02.txt	How to talk to the opposite sex - The Age Blogs: Ask Sam	Blog	http://blogs.theage.com.au/lifestyle/asksam/archives/2007/11/how_to_talk_to.html	13494	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=20	27447777	27447778
22	3287989	shop .... I plastered a smile on my face to be polite . &lt;p&gt;  I did n't tell him I	<<< was stood >>>	up and I was A okay sitting there eating my hotdog . His friends were pulling him away as they	shop_nn1_vv0@ ...._... I_ppis1 plastered_vvd a_at1 smile_nn1 on_ii my_appge face_nn1 to_to be_vbi polite_jj ._. &lt;p&gt; _null I_ppis1 did_vdd n't_xx tell_vvi him_ppho1 I_ppis1	<<< was_vbdz stood_vvn@ >>>	up_rp and_cc I_ppis1 was_vbdz A_at1@ okay_jj sitting_vvg_nn1@ there_rl eating_vvg my_appge hotdog_nn1 ._. His_appge friends_nn2 were_vbdr pulling_vvg him_ppho1 away_rl as_csa they_pphs2	Australia	wlp_au_b02.txt	How to talk to the opposite sex - The Age Blogs: Ask Sam	Blog	http://blogs.theage.com.au/lifestyle/asksam/archives/2007/11/how_to_talk_to.html	13494	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=21	27448013	27448014
23	3292481	nearly immediately -- memories of the recent shift in London are awakened ( where half the calls sent to us	<<< were stood >>>	down ) . @ @ @ @ @ @ @ @ @ @ are sent to a female with chest	nearly_rr immediately_rr --_zz memories_nn2 of_io the_at recent_jj shift_nn1@_vv0 in_ii London_np1 are_vbr awakened_vvn (_( where_cs_rrq half_db the_at calls_nn2 sent_vvn_vvd to_ii us_ppio2	<<< were_vbdr stood_vvn@ >>>	down_rp )_) ._. @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii are_vbr sent_vvn to_ii a_at1 female_nn1_jj with_iw chest_nn1	Australia	wlp_au_b02.txt	A night in Edinburgh, part I | flobachrepublic	Blog	http://flobach.com/2012/09/28/a-night-in-edinburgh-part-i/	946	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=22	28911762	28911763
24	3292482	mouth . A dodgy place with dodgy people ... not somewhere you want to attend without police . Luckily we	<<< are stood >>>	down . &lt;p&gt;  We have a little spare time , and drive round to the digitals . Another cool thing	mouth_nn1 ._. A_at1_zz1 dodgy_jj place_nn1 with_iw dodgy_jj people_nn ..._... not_xx somewhere_rl you_ppy want_vv0 to_to attend_vvi without_iw police_nn2 ._. Luckily_rr we_ppis2	<<< are_vbr stood_vvn@ >>>	down_rp ._. &lt;p&gt; _null We_ppis2 have_vh0 a_at1 little_jj spare_jj time_nnt1 ,_, and_cc drive_vv0 round_rp to_ii the_at digitals_nn2 ._. Another_dd1 cool_jj thing_nn1	Australia	wlp_au_b02.txt	A night in Edinburgh, part II | flobachrepublic	Blog	http://flobach.com/2012/10/01/a-night-in-edinburgh-part-ii/	1276	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=23	28912726	28912727
25	3294050	was kneeling on the floor with her head down and he slid a black hood over her face . She	<<< was stood >>>	up and the rope started to be tied around her body and before you knew it , she was hanging	was_vbdz kneeling_vvg on_ii the_at floor_nn1 with_iw her_appge head_nn1 down_rp and_cc he_pphs1 slid_vvd a_at1 black_jj hood_nn1 over_ii_rp her_appge face_nn1 ._. She_pphs1	<<< was_vbdz stood_vvn@ >>>	up_rp and_cc the_at rope_nn1 started_vvd to_to be_vbi tied_vvn around_ii_rp her_appge body_nn1 and_cc before_cs you_ppy knew_vvd it_pph1 ,_, she_pphs1 was_vbdz hanging_vvg	Australia	wlp_au_b02.txt	SHOW TIME &amp; STORIES - 50 SHADES | Healthy Passionate Living	Blog	http://healthypassionateliving.com/show-time-stories-50-shades/	635	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=24	29468248	29468249
26	3306650	.  &lt;p&gt;  Housing minister Bruce Flegg 's son -- who works for a lobbying firm in Queensland -- has	<<< been stood >>>	down from his job over unauthorised liaison with his father 's office on business matters . &lt;p&gt;  Flegg , @	._.  &lt;p&gt; _null Housing_vvg_nn1 minister_nn1 Bruce_np1 Flegg_np1 's_ge son_nn1 --_zz who_pnqs works_vvz for_if a_at1 lobbying_nn1_jj@ firm_nn1 in_ii Queensland_np1 --_zz has_vhz	<<< been_vbn stood_vvn@ >>>	down_rp from_ii his_appge job_nn1 over_ii unauthorised_jj liaison_nn1 with_iw his_appge father_nn1 's_ge office_nn1 on_ii business_nn1 matters_nn2 ._. &lt;p&gt; _null Flegg_vv0_nn1_np1@ ,_, @_ii	Australia	wlp_au_b02.txt	To See A One-Term Government, Look North Of The Tweed River	Blog	http://theredandtheblue.org/2012/11/13/to-see-a-one-term-government-look-north-of-the-tweed-river/	2929	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=25	34690858	34690859
27	3306663	were off and running . Madness . A flat-out sprint . &lt;p&gt;  I grabbed my bike from Garry -- who	<<< was stood >>>	exactly where we agreed -- thank god -- and hopped on . @ @ @ @ @ @ @ @	were_vbdr off_rp and_cc running_nn1_vvg_jj ._. Madness_nn1 ._. A_at1_zz1 flat-out_jj sprint_nn1 ._. &lt;p&gt; _null I_ppis1 grabbed_vvd my_appge bike_nn1 from_ii Garry_np1_nn1 --_zz who_pnqs	<<< was_vbdz stood_vvn@ >>>	exactly_rr where_cs_rrq we_ppis2 agreed_vvd --_zz thank_vv0 god_nn1 --_zz and_cc hopped_vvd_vvn on_rp@ ._. @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii	Australia	wlp_au_b02.txt	JET CYCLES AT THE SCOTT 24HR | The Roost Mag	Blog	http://theroostmag.com.au/jet-cycles-at-the-scott-24hr/	2036	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=26	34703145	34703146
28	3308363	and set a world record of 1:44.3 . No other Australian has ever managed to equal this , and it	<<< 's stood >>>	as the Australian record for more than 40 years . Ralph is a contraction of the Old Norse @ @	and_cc set_vvd_vv0 a_at1 world_nn1 record_nn1 of_io 1:44.3_mc ._. No_at other_jj Australian_nn1@_jj has_vhz ever_rr managed_vvn to_ii equal_jj this_dd1 ,_, and_cc it_pph1	<<< 's_vbz stood_vvn@ >>>	as_ii_csa the_at Australian_jj record_nn1 for_if more_dar than_csn 40_mc years_nnt2 ._. Ralph_np1 is_vbz a_at1 contraction_nn1 of_io the_at Old_jj Norse_nn1 @_ii @_ii	Australia	wlp_au_b02.txt	Names of Australian Male Olympic Medalists � Waltzing More Than	Blog	http://waltzingmorethanmatilda.com/2012/08/19/names-of-australian-male-olympic-medalists/	1880	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=27	35258921	35258922
29	3313691	true as Connor will at times jump in bizarre and odd directs or jump onto an object that can barely	<<< be stood >>>	on and will slip and fall to his death . Although it sounds sloppy , which it is , tree-running	true_jj as_csa_ii@ Connor_np1 will_nn1@_vm at_ii times_nnt2 jump_vv0_nn1 in_ii_rp@ bizarre_jj and_cc odd_jj directs_vvz or_cc jump_vv0_nn1 onto_ii an_at1 object_nn1 that_cst_dd1 can_vm barely_rr	<<< be_vbi stood_vvn@ >>>	on_rp@_ii and_cc will_vm slip_vvi and_cc fall_vvi to_ii his_appge death_nn1 ._. Although_cs it_pph1 sounds_vvz sloppy_jj ,_, which_ddq it_pph1 is_vbz ,_, tree-running_nn1	Australia	wlp_au_b02.txt	Assassin's Creed 3 Review | Capsule Computers - Gaming	Blog	http://www.capsulecomputers.com.au/2012/11/assassins-creed-3-review/	3286	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=28	36931273	36931274
