Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Country	Source file	Title	Type of text	Source URL	Word count	URL	Matchbegin corpus position	Matchend corpus position
11	3323227	chair sat in front of a portable TV and $200,000 in the bank . Then there 's another guy who	<<< 's sat >>>	in the swankiest pad with a Porsche outside , fuck-all in the fridge and a couple hundred thousand dollars debt	chair_nn1 sat_vvd in_ii31 front_ii32 of_ii33 a_at1 portable_jj TV_nn1 and_cc $200,000_nnu in_ii the_at bank_nn1 ._. Then_rt there_ex 's_vbz another_dd1 guy_nn1 who_pnqs	<<< 's_vbz_vhz@ sat_vvn@ >>>	in_ii the_at swankiest_jjt pad_nn1 with_iw a_at1 Porsche_np1 outside_rl_jj ,_, fuck-all_db_rr@ in_ii the_at fridge_nn1 and_cc a_at1 couple_nn1 hundred_nno thousand_nno dollars_nnu2 debt_nn1	Australia	wlp_au_b01.txt	Life at the Tip of a Spear Part Six: Living after war | Milk Bar	Blog	http://www.milkbarmag.com/2012/07/04/life-at-the-tip-of-a-spear-part-six-living-after-war/	3064	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=10	16110117	16110118
12	3328003	the shelling would not @ @ @ @ @ @ @ @ @ @ generator died . So then we	<<< were sat >>>	in the darkness , waiting , for hours . The children -- yes and the women too -- we were	the_at shelling_nn1 would_vm not_xx @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii generator_nn1 died_vvd ._. So_rr then_rt we_ppis2	<<< were_vbdr sat_vvn@ >>>	in_ii the_at darkness_nn1 ,_, waiting_vvg ,_, for_if hours_nnt2 ._. The_at children_nn2 --_zz yes_uh and_cc the_at women_nn2 too_rg --_zz we_ppis2 were_vbdr	Australia	wlp_au_b01.txt	The journey was death | Syrian Refugee Crisis	Blog	http://www.savethechildren.org.au/emergency/syria/the-journey-was-death/	489	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=11	17691549	17691550
13	3329441	@ @ and the comments I made were pretty much what I would have said to the author if we	<<< were sat >>>	face to face in a crit group . &lt;p&gt;  I buy a lot of local and small press books .	@_ii @_ii and_cc the_at comments_nn2 I_ppis1 made_vvd were_vbdr pretty_rg much_rr what_ddq I_ppis1 would_vm have_vhi said_vvn@ to_ii the_at author_nn1 if_cs we_ppis2	<<< were_vbdr sat_vvn@ >>>	face_nn1 to_ii face_nn1 in_ii a_at1 crit_nn1 group_nn1 ._. &lt;p&gt; _null I_ppis1 buy_vv0 a_at1 lot_nn1 of_io local_jj and_cc small_jj press_nn1 books_nn2 ._.	Australia	wlp_au_b01.txt	Steve Cameron: A Writer, Darkly: Read As Much As You Can.	Blog	http://www.stevecameron.com.au/2010/06/read-as-much-as-you-can.html	810	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=12	18279142	18279143
14	3329805	Looking Like a Hobbit -- and maybe win something ! &lt;p&gt;  About five or so years ago , when I	<<< was sat >>>	here on the sofa nursing a small baby , the idea of a night out on the town was almost	Looking_vvg Like_ii a_at1 Hobbit_nn1 --_zz and_cc maybe_rr win_vv0 something_pn1 !_! &lt;p&gt; _null About_rg five_mc or_cc so_rr years_nnt2 ago_ra ,_, when_cs_rrq I_ppis1	<<< was_vbdz sat_vvn@ >>>	here_rl on_ii the_at sofa_nn1 nursing_vvg a_at1 small_jj baby_nn1 ,_, the_at idea_nn1 of_io a_at1 night_nnt1 out_rp on_ii the_at town_nn1 was_vbdz almost_rr	Australia	wlp_au_b01.txt	How to Avoid Looking Like a Hobbit - and maybe win something	Blog	http://www.superkawaiimama.com.au/2012/09/19/how-to-avoid-looking-like-a-hobbit-and-maybe-win-something/	798	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=13	18416415	18416416
15	3730348	, but not enough . This is n't brave , it 's just pure politics . &lt;p&gt;  The report has	<<< been sat >>>	on for months and all that the ALP have managed to come up with is a timetable and a promise	,_, but_ccb not_xx enough_rr ._. This_dd1 is_vbz n't_xx brave_jj ,_, it_pph1 's_vbz just_rr pure_jj politics_nn1 ._. &lt;p&gt; _null The_at report_nn1 has_vhz	<<< been_vbn sat_vvn@ >>>	on_rp@ for_if months_nnt2 and_cc all_db that_cst the_at ALP_nn1_np1 have_vh0 managed_vvn to_to come_vvi up_rp with_iw is_vbz a_at1 timetable_nn1 and_cc a_at1 promise_nn1	Australia	wlp_au_b01.txt	Gonski Another Lacking in Detail Policy Almost Certainly Heading	Blog	http://aussiepollies.com/2012/09/03/gonski-another-lacking-in-detail-policy-headed-for-scrap-heap/	773	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=14	20909610	20909611
16	3734803	... adults with such hangups ! Let children be children ... my daughter showed the same reaction at 2yrs old	<<< being sat >>>	on the fat man 's knee ... she soon got over it when she realized what he was all about	..._... adults_nn2 with_iw such_da hangups_nn2 !_! Let_vv0 children_nn2 be_vbi children_nn2 ..._... my_appge daughter_nn1 showed_vvd the_at same_da reaction_nn1 at_ii 2yrs_nnu2 old_jj	<<< being_vbg_nn1% sat_vvn@ >>>	on_ii the_at fat_jj_nn1 man_nn1 's_ge knee_nn1 ..._... she_pphs1 soon_rr got_vvn_vvd over_ii_rp it_pph1 when_cs she_pphs1 realized_vvd what_ddq he_pphs1 was_vbdz all_db_rr@ about_rp@_ii	Australia	wlp_au_b01.txt	WHAT IS WRONG WITH THIS PICTURE?	Blog	http://thehoopla.com.au/santa-child-abuse/	3708	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=15	23115749	23115750
17	3738026	who has always played @ @ @ @ @ @ @ @ @ @ My very first experiences of gaming	<<< were sat >>>	by my mother while I was Tails or Luigi . I do n't know why people are going out of	who_pnqs has_vhz always_rr played_vvn @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii My_appge very_rg first_md experiences_nn2 of_io gaming_nn1	<<< were_vbdr sat_vvn >>>	by_ii my_appge mother_nn1 while_cs I_ppis1 was_vbdz Tails_nn2 or_cc Luigi_np1_nn1_jj ._. I_ppis1 do_vd0 n't_xx know_vvi why_rrq people_nn are_vbr going_vvg out_ii21 of_ii22	Australia	wlp_au_b01.txt	The Better Name For 'Girlfriend Mode' Is Probably 'Co-Star Mode	Blog	http://www.kotaku.com.au/2012/08/the-better-name-for-girlfriend-mode-is-probably-co-star-mode/	5419	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=16	24172890	24172891
18	3282654	&lt;p&gt;  PS Forgot to say how lovely the red Tiramisu is . I was looking at the pictures while I	<<< was sat >>>	in a very cold house with a man trying to fix the heating ! It 's fixed , but still	&lt;p&gt; _null PS_nn1_np1% Forgot_vvd to_to say_vvi how_rgq@_rrq lovely_jj the_at red_jj_nn1 Tiramisu_nn1 is_vbz ._. I_ppis1 was_vbdz looking_vvg at_ii the_at pictures_nn2 while_cs I_ppis1	<<< was_vbdz sat_vvn@ >>>	in_ii a_at1 very_rg cold_jj house_nn1 with_iw a_at1 man_nn1 trying_vvg to_to fix_vvi the_at heating_nn1 !_! It_pph1 's_vbz fixed_vvn_jj ,_, but_ccb still_rr	Australia	wlp_au_b02.txt	Tiramisu Three-Ring: Threads, Feet and Stitches � 3 Hours Past the	Blog	http://3hourspast.com/2012/10/03/tiramisu-three-ring-threads-feet-and-stitches/	2704	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=17	25216277	25216278
19	3291364	breakfast and was checking emails when I thought I would write something brief about the day ahead . &lt;p&gt;  It	<<< 's Sat >>>	morning and due t a late night I have enjoyed a sleep in and have had breakfast late and right	breakfast_nn1 and_cc was_vbdz checking_vvg emails_nn2 when_rrq_cs I_ppis1 thought_vvd I_ppis1 would_vm write_vvi something_pn1 brief_jj about_ii the_at day_nnt1 ahead_rl ._. &lt;p&gt; _null It_pph1	<<< 's_vbz Sat_npd1@ >>>	morning_nnt1 and_cc due_jj t_zz1 a_at1 late_jj night_nnt1 I_ppis1 have_vh0 enjoyed_vvn a_at1 sleep_nn1 in_ii_rp@ and_cc have_vh0 had_vhn breakfast_nn1 late_jj_rr and_cc right_rr_nn1	Australia	wlp_au_b02.txt	RUDDERFISH by Drew Ginn: Making the most of the day...aHead	Blog	http://drewginn.blogspot.com/2008/01/making-most-of-dayahead.html	537	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=18	28569921	28569922
20	3291985	! While taking exams can be daunting -- particularly if it 's been quite a few years since you 've	<<< been sat >>>	for an exam -- getting your Esri Technical Certification is well worth it . If you have any questions about	!_! While_cs taking_vvg exams_nn2 can_vm be_vbi daunting_jj --_zz particularly_rr if_cs it_pph1 's_vhz been_vbn quite_rg a_at1 few_da2 years_nnt2 since_cs you_ppy 've_vh0	<<< been_vbn sat_vvn@ >>>	for_if an_at1 exam_nn1 --_zz getting_vvg your_appge Esri_jj_nn1 Technical_jj Certification_nn1 is_vbz well_jj worth_ii_nn1@ it_pph1 ._. If_cs you_ppy have_vh0 any_dd questions_nn2 about_ii	Australia	wlp_au_b02.txt	Is it time to get your Esri Certification? � Esri Australia	Blog	http://esriaustralia.wordpress.com/2012/11/01/is-it-time-to-get-esri-certified/	627	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=19	28760425	28760426
21	3295759	shift ! Singapore airport : Just sat down in The coffee bean cafe . Last time I was here I	<<< was sat >>>	with the lovely Emily Hughes having a chat . Now I 'm sat having a tuna sandwich and coffee .	shift_vvi !_! Singapore_np1 airport_nn1 :_: Just_rr sat_vvd_vvn@ down_rp in_ii The_at coffee_nn1 bean_nn1 cafe_nn1 ._. Last_md time_nnt1 I_ppis1 was_vbdz here_rl I_ppis1	<<< was_vbdz sat_vvn@ >>>	with_iw the_at lovely_jj Emily_np1 Hughes_np1 having_vhg a_at1 chat_nn1 ._. Now_rt I_ppis1 'm_vbm sat_vvn@ having_vhg a_at1 tuna_nn sandwich_nn1_vv0@ and_cc coffee_nn1 ._.	Australia	wlp_au_b02.txt	43 and a half hour journey home....... - World Nomads Journals	Blog	http://journals.worldnomads.com/kerrysgarner/story/66728/Thailand/43-and-a-half-hour-journey-home	925	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=20	30349051	30349052
22	3295759	. Last time I was here I was sat with the lovely Emily Hughes having a chat . Now I	<<< 'm sat >>>	having a tuna sandwich and coffee . I 'm still weary although I @ @ @ @ @ @ @	._. Last_md time_nnt1 I_ppis1 was_vbdz here_rl I_ppis1 was_vbdz sat_vvn@ with_iw the_at lovely_jj Emily_np1 Hughes_np1 having_vhg a_at1 chat_nn1 ._. Now_rt I_ppis1	<<< 'm_vbm sat_vvn@ >>>	having_vhg a_at1 tuna_nn sandwich_nn1_vv0@ and_cc coffee_nn1 ._. I_ppis1 'm_vbm still_rr weary_jj although_cs I_ppis1 @_ii @_ii @_ii @_ii @_ii @_ii @_ii	Australia	wlp_au_b02.txt	43 and a half hour journey home....... - World Nomads Journals	Blog	http://journals.worldnomads.com/kerrysgarner/story/66728/Thailand/43-and-a-half-hour-journey-home	925	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=21	30349064	30349065
23	3295759	of Asian people on there shouting and being far too loud , not a great deal of sleep plus I	<<< was sat >>>	in the middle seat of 3 and the woman with the window seat was missing a bladder ( well ,	of_io Asian_jj people_nn on_ii_rp@ there_rl shouting_vvg and_cc being_vbg far_rr too_rg loud_rr_jj ,_, not_xx a_at1 great_jj deal_nn1 of_io sleep_nn1 plus_cc%_ii_nn1@ I_ppis1	<<< was_vbdz sat_vvn@ >>>	in_ii the_at middle_jj_nn1 seat_nn1 of_io 3_mc and_cc the_at woman_nn1 with_iw the_at window_nn1 seat_nn1 was_vbdz missing_vvg a_at1 bladder_nn1 (_( well_rr ,_,	Australia	wlp_au_b02.txt	43 and a half hour journey home....... - World Nomads Journals	Blog	http://journals.worldnomads.com/kerrysgarner/story/66728/Thailand/43-and-a-half-hour-journey-home	925	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=22	30349116	30349117
24	3295889	homesick a couple of times in the trip ( already i know ! ) mainly on days when i 've	<<< been sat >>>	around with little or nothing to do and thinking that at least at home i 'd have people to talk	homesick_jj a_at1 couple_nn1 of_io times_nnt2 in_ii the_at trip_nn1 (_( already_rr i_mc1_zz1 know_vv0 !_! )_) mainly_rr on_ii days_nnt2 when_rrq i_zz1 've_vh0	<<< been_vbn sat_vvn@ >>>	around_rp with_iw little_jj_da1 or_cc nothing_pn1 to_to do_vdi and_cc thinking_vvg_nn1 that_cst_dd1 at_rr21 least_rr22 at_ii home_nn1 i_zz1_mc1 'd_vm have_vhi people_nn to_to talk_vvi	Australia	wlp_au_b02.txt	One of those Days - Australia - WorldNomads.com	Blog	http://journals.worldnomads.com/spongey/story/12771/Australia/One-of-those-Days	273	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=23	30426109	30426110
25	3298264	closed discriminatory @ @ @ @ @ @ @ @ @ @ of isolation and out-dated phobias , need to	<<< be sat >>>	on its head and overhauled to meet the challenges of the next century , or it will surely suffer being	closed_jj_vvn discriminatory_jj @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii of_io isolation_nn1 and_cc out-dated_jj phobias_nn2 ,_, need_vv0 to_to	<<< be_vbi sat_vvn@ >>>	on_ii its_appge head_nn1 and_cc overhauled_vvn to_to meet_vvi the_at challenges_nn2 of_io the_at next_md century_nnt1 ,_, or_cc it_pph1 will_vm surely_rr suffer_vvi being_vbg	Australia	wlp_au_b02.txt	Beldan Namah: What was Ian Kemish doing at Government House	Blog	http://masalai.wordpress.com/2012/08/02/beldan-namah-what-was-ian-kemish-doing-at-government-house/	6250	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=24	31611220	31611221
26	3304468	Pain au Levain recipe sat in the fridge ready for a bake today ( retardation method ) . It 's	<<< been sat >>>	there for a few days and definitely has n't doubled so I 'm expecting that once it 's out and	Pain_nn1 au_nnu Levain_jj_nn1 recipe_nn1 sat_vvd in_ii the_at fridge_nn1 ready_jj for_if a_at1 bake_vv0 today_rt (_( retardation_nn1 method_nn1 )_) ._. It_pph1 's_vhz	<<< been_vbn sat_vvn@ >>>	there_rl for_if a_at1 few_da2 days_nnt2 and_cc definitely_rr has_vhz n't_xx doubled_vvn so_cs@_rr I_ppis1 'm_vbm expecting_vvg that_cst_dd1 once_cs@_rr it_pph1 's_vbz out_rp and_cc	Australia	wlp_au_b02.txt	don't I need a sponge? | Sourdough Companion	Blog	http://sourdough.com/forum/dont-i-need-sponge	2988	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=25	33752930	33752931
27	3309262	crappy fringe/heavy eye makeup connotations ) -- that so obviously does not need another contender for the throne that 's	<<< been sat >>>	in scores of times over the past few years ? At first , the answer was obvious . This song	crappy_jj fringe/heavy_nn1 eye_nn1 makeup_nn1 connotations_nn2 )_) --_zz that_cst so_rg_rr obviously_rr does_vdz not_xx need_vvi another_dd1 contender_nn1 for_if the_at throne_nn1 that_cst_dd1 's_vhz	<<< been_vbn sat_vvn@ >>>	in_ii scores_nn2 of_io times_nnt2 over_ii the_at past_jj_nn1 few_da2 years_nnt2 ?_? At_rr21 first_rr22 ,_, the_at answer_nn1 was_vbdz obvious_jj ._. This_dd1 song_nn1	Australia	wlp_au_b02.txt	Rudimental - Spoons Ft. MNEK &amp; Syron | One A Day	Blog	http://www.1songday.com/2012/09/rudimental-spoons-ft-mnek-syron/	660	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=26	35616628	35616629
28	3311772	the clothes pulling and touching thing . I particularly hate bony little elbows in your ribs/stomach/general body area when they	<<< 're sat >>>	next to you and want to get up . Hilarious post . x &lt;p&gt;  My husband not using the google	the_at clothes_nn2 pulling_vvg and_cc touching_jj_vvg thing_nn1 ._. I_ppis1 particularly_rr hate_vv0 bony_jj little_jj elbows_nn2 in_ii your_appge ribs/stomach/general_fu body_nn1 area_nn1 when_cs_rrq they_pphs2	<<< 're_vbr sat_vvn@ >>>	next_ii21 to_ii22 you_ppy and_cc want_vv0 to_to get_vvi up_rp ._. Hilarious_jj post_nn1 ._. x_zz1_mc@ &lt;p&gt; _null My_appge husband_nn1 not_xx using_vvg the_at google_nn1	Australia	wlp_au_b02.txt	BabyMac: The clothes puller	Blog	http://www.baby-mac.com/2012/10/the-clothes-puller.html	3420	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=27	36354612	36354613
29	3317692	That would be stupid , but then again punishing people for being willing to win the ball first and then	<<< being sat >>>	on a second later is also stupid . &lt;p&gt;  It seems to me that there is a simple implementation toward	That_dd1 would_vm be_vbi stupid_jj ,_, but_ccb then_rt again_rt punishing_vvg_jj people_nn for_if being_vbg willing_jj to_to win_vvi the_at ball_nn1 first_md and_cc then_rt	<<< being_vbg sat_vvn@ >>>	on_ii a_at1 second_nnt1 later_rrr is_vbz also_rr stupid_jj ._. &lt;p&gt; _null It_pph1 seems_vvz to_ii me_ppio1 that_cst there_ex is_vbz a_at1 simple_jj implementation_nn1 toward_ii	Australia	wlp_au_b02.txt	No Oliver, you may not have some more. Eighty will do.	Blog	http://www.footyalmanac.com.au/no-oliver-you-may-not-have-some-more-eighty-will-do/	1272	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=28	38466167	38466168
